stock_symbol,stock_name
087398,晶豪科元大0C購01
076811,台積電國泰07購11
081299,裕隆元大07購02  
089717,聯詠兆豐0B購01  
076411,嘉聯益統一06購02
079841,美食元大07購01  
083817,臺股指麥證07購07
085485,台橡凱基08購01  
082533,台積電日盛11購01
082641,世紀鋼富邦08購01
081126,國巨日盛08購01  
081116,長榮群益07購06  
087761,裕民富邦0B購01  
03860P,大立光國泰07售01
088092,晶豪科元富0C購02
078402,華邦電永豐06購03
2491,吉祥全          
05583P,國巨元大06售23  
081172,長榮永豐07購03  
083051,台光電兆豐07購01
2106,建大            
00670L,富邦NASDAQ正2   
088016,統一永豐09購01  
085981,聯電元大0C購05  
086675,華邦電統一0B購03
081060,億豐國票08購01  
03747C,聯電富邦13牛01  
05986P,華通統一07售02  
04546P,立積元富0A售04  
085386,聯詠兆豐09購01  
05706P,長榮統一07售10  
06744P,台灣50元大0A售14
030599,東鋼元大0A購02  
079945,台玻凱基08購01  
080592,世紀鋼兆豐07購01
03728C,T50反1凱基09牛02
088299,台橡凱基0C購01  
088422,聯詠群益09購05  
082830,同欣電元大08購01
084364,大銀元大07購01  
089805,東鋼群益09購05  
088175,惠特元大09購01  
087803,裕隆兆豐0A購01  
085844,榮成統一0A購01  
080146,東鋼凱基06購02  
089898,華邦電凱基0A購04
6668,中揚光          
030444,安普新元大0C購01
086459,富邦金群益0B購01
081626,台航元大07購01  
089196,長榮凱基0B購04  
071137,大立光元富09購01
06748P,立積元大0A售03  
078701,長榮富邦08購01  
079469,玉晶光中信0A購02
075596,SGBR2X凱基06購01
082932,奇鋐統一09購02  
083373,偉詮電國票08購01
2477,美隆電          
081482,台揚凱基07購01  
088722,瑞軒凱基0A購01  
076216,潤泰全富邦07購01
080009,華邦電國票07購04
082595,台積電元大07購17
088689,廣宇元富0C購03  
2405,浩鑫            
085368,上銀群益08購02  
085261,盛群國泰0A購01  
078617,嘉聯益兆豐07購01
088589,瑞軒統一09購02  
081072,大成鋼中信09購01
089288,長榮元富12購01  
030809,台積電富邦11購01
084684,亞德客統一09購03
030017,彩晶元富0A購01  
06285P,美律元大08售01  
05834P,臺股指凱基07售12
06065P,聯發科凱基07售06
085425,盛群元大08購02  
081697,台光電日盛07購01
083831,全新凱基08購04  
083846,華邦電群益08購04
089722,台玻永豐09購01  
2547,日勝生          
00861,元大全球未來通訊
05105P,中興電元富06售01
086341,義隆元大0A購01  
080097,萬海中信09購01  
1451,年興            
1471,首利            
085885,台積電國票09購13
079960,世紀鋼凱基08購02
080306,聯發科群益07購03
074843,旺宏群益04購05  
079241,國巨元大08購01  
089566,美食統一0B購02  
06329P,聯電元富08售08  
086760,台灣50凱基09購06
079196,台聚群益07購01  
06288P,玉晶光康和08售02
05824P,瑞昱群益07售02  
06589P,群創元富09售06  
071573,牧德元富07購01  
06005P,臺股指元大07售19
04397P,智邦國票05售01  
031077,盛群元大0A購02  
030630,盛群元大0A購01  
05065P,景碩群益05售05  
06048P,南六元大07售02  
068406,同欣電元富07購01
05505P,晶豪科元富06售01
085405,台積電元大08購28
084751,松翰元大08購02  
088228,矽格元富11購01  
077222,友訊凱基05購03  
078089,南亞科統一06購02
080520,國喬群益06購01  
082061,裕隆康和07購01  
084510,台積電元大08購10
089915,彩晶凱基0B購03  
2020,美亞            
030194,台玻凱基0B購01  
066963,T50反1元富07購03
077559,聯電元大05購13  
076111,潤泰新富邦06購01
078733,聯電元富08購04  
1737,臺鹽            
2359,所羅門          
06400P,健策元大08售06  
083085,聯電元大07購11  
06500P,鴻海元大0A售01  
05683P,臺股指群益07售03
076767,旺宏元大06購01  
082352,晶技富邦07購01  
089665,南紡元大09購01  
088507,晶豪科元大09購06
088650,智易富邦09購01  
1217,愛之味          
030956,聯成元大0A購01  
030565,創意統一0C購01  
085978,臺股指凱基12購01
077783,上銀凱基06購01  
081258,亞光國泰09購01  
084509,台積電元大08購09
